activo,modelo,semilla,particion,n_periodos,retorno_total,cagr,volatilidad_anual,ratio_sharpe,ratio_sortino,caida_maxima,ratio_calmar,exposicion,n_operaciones,aciertos
SPY,DQN,0.0,validacion,427,0.5794315882404892,0.3096282197719695,0.1183139367127359,2.3400875624225623,2.3412084640063795,-0.09974314636021098,3.1042555911940313,0.9391100702576113,7.0,0.5785536159600998
SPY,DQN,0.0,prueba,427,0.31668297816101965,0.17628756933564893,0.16025060603056093,1.0925635500812823,1.0891922456523182,-0.17168088305850504,1.0268328435587906,0.882903981264637,13.0,0.5490716180371353
SPY,DQN,1.0,validacion,427,0.5112748657562345,0.27597463664717514,0.11813306623144336,2.122939212189435,2.0763935578511137,-0.08405608805215325,3.2832200860447434,0.9320843091334895,15.0,0.5829145728643216
SPY,DQN,1.0,prueba,427,0.28514773785601144,0.1595785263076137,0.1692118072861243,0.9589111190243744,0.9472829504400646,-0.18755221196416583,0.8508485431145071,0.8946135831381733,33.0,0.5602094240837696
SPY,DQN,2.0,validacion,427,0.5175029488000957,0.2790753344556993,0.11832803055924075,2.140155441014628,2.109099686117509,-0.09974314636021098,2.7979399551709614,0.9297423887587822,12.0,0.5768261964735516
SPY,DQN,2.0,prueba,427,0.2732409831084759,0.15322608690888262,0.16070375356787966,0.9665150339760304,0.9852520399971254,-0.12184621957900799,1.2575366510204051,0.8665105386416861,27.0,0.5486486486486486
PEP,Comprar y mantener,,prueba,427,-0.061197948800224666,-0.036583274777995944,0.22327232466140523,-0.05586957765526932,-0.05894934357922255,-0.20043389285696167,-0.18252040239573333,1.0,1.0,0.47540983606557374
PEP,DQN,0.0,validacion,427,0.03242549413911644,0.01901110490965041,0.1494664937639722,0.20058121448356794,0.19719536897148715,-0.12625321866418038,0.1505791702643071,0.9227166276346604,14.0,0.5076142131979695
PEP,DQN,0.0,prueba,427,-0.04252723816880133,-0.025321248104177352,0.19727357282490293,-0.03191403758116619,-0.031150250934883314,-0.17662227232944383,-0.14336384517206877,0.7985948477751756,25.0,0.4750733137829912
PEP,DQN,1.0,validacion,427,0.02717206881482248,0.015947807818469384,0.08694538884820029,0.22533377451021205,0.14784206149750753,-0.07919166521143894,0.2013824027552559,0.3395784543325527,42.0,0.5448275862068965
